"rule_id","category_id","product_id","storage_type_id","min_days","max_days","recommended_days","rule_status","confidence","evidence_classification","source_name","source_url","source_locator","source_value_text","handling_notes","created_at","updated_at"
"1","3","","1","1","2","1.5","AVAILABLE","HIGH","CATEGORY_GENERALIZATION","FDA seafood storage guidance","https://www.fda.gov/food/buy-store-serve-safe-food/selecting-and-serving-fresh-and-frozen-seafood-safely","","1-2 days (category fallback)","Use only when image recognition identifies the category but not a catalogue product.","2026-08-27 00:00:00","2026-08-27 00:00:00"
"2","3","","2","60","240","150","AVAILABLE","HIGH","CATEGORY_GENERALIZATION","FoodSafety.gov cold chart","https://www.foodsafety.gov/food-safety-charts/cold-food-storage-charts","","60-240 days (category fallback)","Use only when image recognition identifies the category but not a catalogue product.","2026-08-27 00:00:00","2026-08-27 00:00:00"
"3","5","","3","2","10","6","AVAILABLE","HIGH","CATEGORY_GENERALIZATION","USDA FoodKeeper open data","https://catalog.data.gov/dataset/fsis-foodkeeper-data","","2-10 days (category fallback)","Use only when image recognition identifies the category but not a catalogue product.","2026-08-27 00:00:00","2026-08-27 00:00:00"
"4","5","","1","2","21","11.5","AVAILABLE","HIGH","CATEGORY_GENERALIZATION","USDA FoodKeeper open data","https://catalog.data.gov/dataset/fsis-foodkeeper-data","","2-21 days (category fallback)","Use only when image recognition identifies the category but not a catalogue product.","2026-08-27 00:00:00","2026-08-27 00:00:00"
"5","5","","2","30","365","197.5","AVAILABLE","HIGH","CATEGORY_GENERALIZATION","USDA FoodKeeper open data","https://catalog.data.gov/dataset/fsis-foodkeeper-data","","30-365 days (category fallback)","Use only when image recognition identifies the category but not a catalogue product.","2026-08-27 00:00:00","2026-08-27 00:00:00"
"6","3","","3","0","0","","NOT_RECOMMENDED","HIGH","CATEGORY_GENERALIZATION","NOT_RECOMMENDED; FDA maximum 2 hours","https://www.fda.gov/food/buy-store-serve-safe-food/selecting-and-serving-fresh-and-frozen-seafood-safely","","Maximum 2 hours at 25-30 C; room-temperature storage is not recommended.","Display a warning; do not calculate an endorsed room-temperature expiry date.","2026-08-27 00:00:00","2026-08-27 00:00:00"
"7","2","","1","1","5","3","AVAILABLE","HIGH","CATEGORY_GENERALIZATION","FoodSafety.gov Cold Food Storage Chart","https://www.foodsafety.gov/food-safety-charts/cold-food-storage-charts","Raw sausage and ground meat: 1-2 days; fresh steaks, chops and roasts: 3-5 days refrigerated at 4 C or below","1-5 days refrigerator category range","Category fallback for unidentified raw meat; use a product-specific rule when available.","2026-08-27 00:00:00","2026-08-27 00:00:00"
"8","2","","2","30","365","197.5","AVAILABLE","HIGH","CATEGORY_GENERALIZATION","FoodSafety.gov Cold Food Storage Chart","https://www.foodsafety.gov/food-safety-charts/cold-food-storage-charts","Raw meat ranges from about 1 month for bacon to 12 months for selected fresh cuts/poultry at -18 C or below","1-12 months converted to 30-365 days","Freezer durations are quality guidance; category fallback only.","2026-08-27 00:00:00","2026-08-27 00:00:00"
"9","2","","3","0","0","","NOT_RECOMMENDED","HIGH","CATEGORY_GENERALIZATION","FDA two-hour rule for perishable food","https://www.fda.gov/food/buy-store-serve-safe-food/selecting-and-serving-fresh-and-frozen-seafood-safely","Never leave seafood or other perishable food out of refrigeration for more than 2 hours","Maximum 2 hours; storage at 25-30 C is not recommended","Display a warning; do not calculate an endorsed pantry expiry date.","2026-08-27 00:00:00","2026-08-27 00:00:00"
"10","4","","1","2","14","8","AVAILABLE","MEDIUM","CATEGORY_GENERALIZATION","University of Georgia Extension, Quick Storage Guide for Vegetable Crops","https://fieldreport.caes.uga.edu/publications/C1205/quick-storage-guide-for-vegetable-crops/","Storage-life table: leafy greens 14 days at 41 F; squash under 10 days; cucumber under 14 days; conditions differ by commodity","Conservative 2-14 day refrigerator category range","Highly product-dependent category fallback; use a product-specific rule when available.","2026-08-27 00:00:00","2026-08-27 00:00:00"
"11","4","","2","240","360","300","AVAILABLE","HIGH","CATEGORY_GENERALIZATION","National Center for Home Food Preservation frozen-food guidance","https://nchfp.uga.edu/how/freeze/freeze-general-information/how-long-can-i-store-frozen-foods/","Fruits and vegetables: approximately 8-12 months at 0 F (-18 C)","8-12 months converted to 240-360 days","Quality guidance; vegetables should be prepared and blanched as appropriate before freezing.","2026-08-27 00:00:00","2026-08-27 00:00:00"
